cid,cname,email,pass_hash,phone,category,epr_id,address,state,pincode,gmap_link,start_time,end_time,doorstep_coll,latitude,longitude,date_created
1, M/s. Tritech Systems,triabdullah@yahoo.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,044-42617179,Recycler,601,"941, 66th St, K K Nagar, MGR Nagar",Tamil Nadu,600078,https://maps.app.goo.gl/yAmPPgNLvHvqjMeA9,09:00,21:00,Yes,13.04414431,80.1942027,2023-12-16T11:11:40.199786
2,M/s. Aer World Wide,aer123@gmail.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9765432145,Recycler,602,"90, Grand Northern Trunk Rd, Ponniammanmedu, Chennai Taluk,Tiruvallur",Tamil Nadu,600110,https://maps.app.goo.gl/R6rdvQGgxjnr38Hi7,09:00,21:00,Yes,13.1460484,80.217208,2023-12-16T11:11:40.199787
3,M/s. Green E Waste,green@yahoo.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,7200185121,Recycler,603,"Plot No.33, Geeson Colony Galaxy Road Kil Ayanambakkam Village, Ambattur, Chennai Ayanambakkam Village, Ambattur, Chennai, Tamil Nadu 600095",Tamil Nadu,600095,https://maps.app.goo.gl/BFCzftNohwp6J6Tt5,09:00,21:00,Yes,13.07766646,80.15327793,2023-12-16T11:11:40.199788
4,M/s. Abishek enterprises,enterprisesabishek@gmail.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,044-23637878,Recycler,604,"7, Raja Gopalan St, AGS Colony, Ramakrishnapuram, Ambattur, Chennai, Tamil Nadu ",Tamil Nadu,600053,https://maps.app.goo.gl/BeeV2P6mzGLCuZKr7,09:00,21:00,No,13.04546271,80.22365473,2023-12-16T11:11:40.199789
5,M/s. JADG India E-Waste Recyclers Pvt. Ltd,jadgewast@gmail.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,044-27925234,Recycler,605,"175, G.N.T Road, Kavaraipettai, Gummidipoondi",Tamil Nadu,601201,https://maps.app.goo.gl/wdXjqdGHArf6fGQSA,09:00,21:00,Yes,13.41007883,80.12665785,2023-12-16T11:11:40.199790
6,M/s. Shri Raam Recycling,info@shriraamrecycling.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9884499191,Recycler,606,"DP 29, SIDCO Industrial Estate,SIPCOT Complex, Gummidipoondi PhaseIV & V,SIDCO Industrial Estate, Gummidipoondi Taluk, Tiruvallur District -601 201",Tamil Nadu,601201,https://maps.app.goo.gl/MHzqrmCLbUXSTwLy8,09:00,21:00,Yes,13.38782402,80.0651346,2023-12-16T11:11:40.199791
7,M/s. Virogreen India Pvt. Ltd,muthu@virogreen.in,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9940831313,Recycler,607,"S.No.297/1B-2 No.49, S.R.Kandigai Road, Pappankuppam Village,, Gummidipoondi",Tamil Nadu,601201,https://maps.app.goo.gl/mpf2twyaVS5rt9Ro6,09:00,21:00,Yes,13.43847015,80.08972801,2023-12-16T11:11:40.199792
8,M/s. Trishyiraya Recycling India Pvt. Ltd,naveen.prakash@simsmm.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9840897125,Recycler,608,"28/21, Vadapalani, Chennai",Tamil Nadu,600026,https://maps.app.goo.gl/VhLopjwEsGxKwQ866,09:00,21:00,Yes,13.05198217,80.21512932,2023-12-16T11:11:40.199793
9,M/s. K.S. Traders,traders123@ks.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,4432011418,Dismantler,609,"263, Oyalli Amman Koil Street, Tiruneermalai, Chennai",Tamil Nadu,600044,https://maps.app.goo.gl/NtBZy1QaB77VRRM38,09:00,21:00,Yes,12.96163424,80.11493145,2023-12-16T11:11:40.199794
10,M/s. SEZ Recycling,akshay@sezrecycling.com,$2b$12$buBqBIk1MVxln/kf6FhJBOXx.NExzaymQXwskNBTWHuTBEbGqJiMG,9790822555,Recycler,610,"Plot No : 7,4th Avenue,IT-SEZ Area, Mahindra World City, Thirutheri R.F.",Tamil Nadu,603002,https://maps.app.goo.gl/ekQcMwb6zJXnmjMz9,09:00,21:00,Yes,12.72911509,80.00710328,2023-12-16T11:11:40.199795
